,smrbci,dynamical,exponential
320,"(0.9991880059242249, 0.0008120182901620865)","(0.7002918124198914, 0.29970818758010864)","(0.9943658113479614, 0.005634188652038574)"
321,"(0.999082624912262, 0.000917379162274301)","(0.7092555165290833, 0.29074448347091675)","(1.0, 0.0)"
322,"(0.9990695714950562, 0.0009304411942139268)","(0.7179499268531799, 0.28205007314682007)","(1.0, 0.0)"
323,"(0.9971951246261597, 0.0028048991225659847)","(0.7263273000717163, 0.2736727297306061)","(1.0, 0.0)"
324,"(0.9878156185150146, 0.012184365652501583)","(0.7341719269752502, 0.26582807302474976)","(1.0, 0.0)"
325,"(0.9738900065422058, 0.026110010221600533)","(0.7413634657859802, 0.2586365342140198)","(1.0, 0.0)"
326,"(0.9963262677192688, 0.0036737238988280296)","(0.7490123510360718, 0.2509876787662506)","(1.0, 0.0)"
327,"(0.9855624437332153, 0.014437572099268436)","(0.756108820438385, 0.2438911646604538)","(1.0, 0.0)"
328,"(0.7815237641334534, 0.21847623586654663)","(0.7568712830543518, 0.2431287169456482)","(1.0, 0.0)"
329,"(0.6194491386413574, 0.38055089116096497)","(0.7527486085891724, 0.24725139141082764)","(1.0, 0.0)"
330,"(0.8257564306259155, 0.17424355447292328)","(0.7549388408660889, 0.24506115913391113)","(1.0, 0.0)"
331,"(0.6176779270172119, 0.3823220729827881)","(0.750821053981781, 0.24917897582054138)","(1.0, 0.0)"
332,"(0.94776850938797, 0.052231498062610626)","(0.7567294239997864, 0.24327056109905243)","(1.0, 0.0)"
333,"(0.996027410030365, 0.003972568083554506)","(0.7639083862304688, 0.23609162867069244)","(1.0, 0.0)"
